fold,model,horizon_h,n,rmse,mae,bias,episode_recall,observed_mean
summer-2026,raw-cams,0,189322,93.18601944096521,69.5772084156446,59.34664887510872,0.05307855626326964,58.19800467809692
summer-2026,full (no fires),24,65504,38.79445633094516,23.984741712996716,4.549055635195109,0.0,58.19800467809692
summer-2026,full (no fires),48,62903,39.89636869094208,25.064836747002676,5.462507153818051,0.0,58.19800467809692
summer-2026,full (no fires),72,60915,39.900446787044274,25.46499068252114,5.404844570137529,0.0,58.19800467809692
summer-2026,full (no fires),0,189322,39.51991637452823,24.819882815999314,5.1279066078657785,0.0,58.19800467809692
summer-2026,full,24,65504,39.1385213813103,24.374302113891275,4.787579455010513,0.0,58.19800467809692
summer-2026,full,48,62903,39.93572731459031,25.249289649988143,6.081445797558513,0.0,58.19800467809692
summer-2026,full,72,60915,39.93729897133858,25.64269260670742,6.182682341297058,0.0,58.19800467809692
summer-2026,full,0,189322,39.662222198509696,25.073129233048036,5.666350896593856,0.0,58.19800467809692
summer-2026,full+upwind,24,65504,39.02678088330645,24.30477498762298,4.742427504240498,0.0,58.19800467809692
summer-2026,full+upwind,48,62903,39.61126651605337,25.00007367093176,5.697251595934126,0.0,58.19800467809692
summer-2026,full+upwind,72,60915,40.33738711723493,26.000857739913535,6.7304461652857475,0.0,58.19800467809692
summer-2026,full+upwind,0,189322,39.646288507568244,25.081511203868065,5.699323462329762,0.0,58.19800467809692
summer-2026,coupled,24,65504,39.17849662382545,24.100561258542367,3.8022567990312695,0.0,58.19800467809692
summer-2026,coupled,48,62903,39.7964059967897,25.059554542758224,5.496487328252269,0.0,58.19800467809692
summer-2026,coupled,72,60915,39.985435240934,25.676994419909576,6.310995935685043,0.0,58.19800467809692
summer-2026,coupled,0,189322,39.64495076228263,24.92641340769415,5.172367126879344,0.0,58.19800467809692
autumn-2025,full (lead-matched),24,36744,69.7560606532621,30.516227753300868,-13.575657052293009,0.0,91.16003175688483
autumn-2025,full (lead-matched),48,36022,72.12308466957256,33.35820759050281,-20.766075539597445,0.0,91.16003175688483
autumn-2025,full (lead-matched),72,35392,75.40758891462771,36.21079308195107,-25.16251237069852,0.0,91.16003175688483
autumn-2025,full (lead-matched),0,108158,72.43073092006264,33.32615262069187,-19.76193303907797,0.0,91.16003175688483
episode-2025,full (lead-matched),24,45156,88.7888416971127,59.13401435286892,-23.965029099904726,0.3037491045132532,203.8339411135406
episode-2025,full (lead-matched),48,44226,91.62331909980352,61.247977303457674,-30.683652793106276,0.20515119406634608,203.8339411135406
episode-2025,full (lead-matched),72,43890,96.07977196421585,64.0602315968415,-32.32409850253342,0.009928021841648052,203.8339411135406
episode-2025,full (lead-matched),0,133272,92.17941261846072,61.45786182488627,-28.947451570768116,0.17478804951380048,203.8339411135406
late-winter-2026,full (lead-matched),24,32383,65.01621644130611,45.35790173319816,-0.2795562756272295,0.49933949801849403,145.54324796700234
late-winter-2026,full (lead-matched),48,31480,68.56308352214072,47.61050493510363,6.298310124371366,0.52703077349598,145.54324796700234
late-winter-2026,full (lead-matched),72,30836,69.49246416383792,48.38898412005326,-0.8654106032481532,0.4447391688770999,145.54324796700234
late-winter-2026,full (lead-matched),0,94699,67.68057640214104,47.093700477398706,1.7163025003412287,0.49142327306444133,145.54324796700234
spring-2026,full (lead-matched),24,61683,38.842194559658736,23.781097114813942,-2.029809198780148,0.02185792349726776,75.35326280380741
spring-2026,full (lead-matched),48,60416,40.65546518461706,25.40475860173657,-0.7903235907833609,0.0018083182640144665,75.35326280380741
spring-2026,full (lead-matched),72,58251,42.67294436104962,26.522785721123313,-2.7105720680294123,0.0052173913043478265,75.35326280380741
spring-2026,full (lead-matched),0,180350,40.716868040508395,25.21054671503598,-1.8344687796168826,0.009540846750149075,75.35326280380741
summer-2026,full (lead-matched),24,65504,40.007075879396545,25.380580706746688,6.727871978079938,0.0,58.19800467809692
summer-2026,full (lead-matched),48,62903,40.2005658700638,25.370195623880797,5.784362941473874,0.0,58.19800467809692
summer-2026,full (lead-matched),72,60915,40.011161147479065,25.4373963859315,4.843873624451639,0.0,58.19800467809692
summer-2026,full (lead-matched),0,189322,40.0727797349513,25.395410859766567,5.808204381916264,0.0,58.19800467809692
